"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
20.12;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
29.12;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
38.12;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
43.11;110;92;75;84;;;;;;;;;;;;;;;
43.94;111;90;75;84;;;;;;;;;;;;;;;
44.71;113;92;80;78;;;;;;;;;;;;;;;
45.52;117;94;81;74;;;;;;;;;;;;;;;
46.32;120;97;82;75;;;;;;;;;;;;;;;
47.08;132;112;99;81;;;;;;;;;;;;;;;
47.79;118;105;89;83;;;;;;;;;;;;;;;
48.55;104;93;82;76;;;;;;;;;;;;;;;
49.33;127;94;75;83;;;;;;;;;;;;;;;
50.06;112;100;88;78;;;;;;;;;;;;;;;
50.86;113;97;80;77;;;;;;;;;;;;;;;
51.58;119;106;94;81;;;;;;;;;;;;;;;
52.35;127;111;100;81;;;;;;;;;;;;;;;
53.03;118;104;91;87;;;;;;;;;;;;;;;
53.73;113;95;81;84;;;;;;;;;;;;;;;
54.47;99;86;73;80;;;;;;;;;;;;;;;
55.17;99;86;76;86;;;;;;;;;;;;;;;
55.93;98;83;70;80;;;;;;;;;;;;;;;
56.69;93;80;67;79;;;;;;;;;;;;;;;
57.43;94;78;69;80;;;;;;;;;;;;;;;
58.30;96;77;69;69;;;;;;;;;;;;;;;
59.16;83;80;76;67;;;;;;;;;;;;;;;
66.12;24;24;24;-0;;;;;;;;;;;;;;;
73.62;18;18;18;-0;;;;;;;;;;;;;;;
74.21;80;33;18;-0;;;;;;;;;;;;;;;
75.09;71;61;54;63;;;;;;;;;;;;;;;
81.62;70;70;70;-0;;;;;;;;;;;;;;;
84.35;84;70;65;-0;;;;;;;;;;;;;;;
85.12;91;82;77;79;;;;;;;;;;;;;;;
85.88;97;83;75;79;;;;;;;;;;;;;;;
86.67;97;89;83;75;;;;;;;;;;;;;;;
87.37;102;92;86;83;;;;;;;;;;;;;;;
88.14;107;94;88;78;;;;;;;;;;;;;;;
88.94;107;95;90;74;;;;;;;;;;;;;;;
89.74;107;96;91;75;;;;;;;;;;;;;;;
90.56;111;97;91;73;;;;;;;;;;;;;;;
91.41;111;97;91;71;;;;;;;;;;;;;;;
92.21;111;97;92;74;;;;;;;;;;;;;;;
93.03;111;98;92;74;;;;;;;;;;;;;;;
93.86;111;97;92;71;;;;;;;;;;;;;;;
94.65;111;98;93;77;;;;;;;;;;;;;;;
95.46;113;99;93;73;;;;;;;;;;;;;;;
96.28;113;98;93;74;;;;;;;;;;;;;;;
97.07;113;99;93;75;;;;;;;;;;;;;;;
97.89;114;99;93;73;;;;;;;;;;;;;;;
98.70;112;99;94;74;;;;;;;;;;;;;;;
99.51;112;99;94;74;;;;;;;;;;;;;;;
100.32;112;99;93;75;;;;;;;;;;;;;;;
101.05;109;99;94;81;;;;;;;;;;;;;;;
101.76;108;99;94;84;;;;;;;;;;;;;;;
102.48;110;98;93;83;;;;;;;13;;;;;;;;
103.24;110;97;91;80;;;;;;;13;;;;;;;;
103.99;108;96;91;79;;;;;;;13;;;;;;;;
104.75;108;95;90;80;;;;;;;13;;;;;;;;
