"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"CO [l/min]";"CI [l/min/m^2]";"SV [ml]";"SI [ml/m^2]";"SVR [dyn*s/cm^5]";"SVRI [dyn*s*m^2/cm^5]";"PPV [%]";"SVV [%]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"CO cal [l/min]";"Height Offset [cm]";"CVP [mmHg]";
16.99;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
27.99;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
37.99;;;;;;;;;;;;;;;"Optimize Signal Quality";;;;
43.67;93;87;76;82;;;;;;;;;;;;;;;
44.45;93;84;76;82;;;;;;;;;;;;;;;
45.23;96;86;77;82;;;;;;;;;;;;;;;
46.02;87;76;69;75;;;;;;;;;;;;;;;
46.81;79;69;61;77;;;;;;;;;;;;;;;
47.58;85;72;65;78;;;;;;;;;;;;;;;
48.34;78;68;61;79;;;;;;;;;;;;;;;
49.05;91;80;69;87;;;;;;;;;;;;;;;
50.32;91;87;82;45;;;;;;;;;;;;;;;
50.92;92;88;82;107;;;;;;;;;;;;;;;
51.51;94;89;84;100;;;;;;;;;;;;;;;
52.18;99;93;87;94;;;;;;;;;;;;;;;
53.02;100;93;86;69;;;;;;;;;;;;;;;
53.91;99;93;88;68;;;;;;;;;;;;;;;
54.79;97;91;86;67;;;;;;;;;;;;;;;
55.70;99;91;87;67;;;;;;;;;;;;;;;
62.49;73;73;73;-0;;;;;;;;;;;;;;;
69.99;89;89;89;-0;;;;;;;;;;;;;;;
71.00;98;78;68;-0;;;;;;;;;;;;;;;
71.83;103;96;92;73;;;;;;;;;;;;;;;
72.65;105;98;93;73;;;;;;;;;;;;;;;
73.48;104;98;94;71;;;;;;;;;;;;;;;
74.35;103;97;93;68;;;;;;;;;;;;;;;
75.19;103;97;92;72;;;;;;;;;;;;;;;
76.00;101;95;91;73;;;;;;;;;;;;;;;
