開始時刻,記録開始時刻,現在時刻,epoch_ns,monotonic_ns,経過時間,計測回数,BP waveform Raw,BP waveform [mmHg],MAP Raw,MAP [mmHg],CO Raw,CO [L/min],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:18.391+09:00,1775694138391832000,1166966041,0.869930375,1,405,197.947214076,201,98.209436919,463,45.815668203,121.669847476,98.209436919,86.479231641,96.737462022
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:19.001+09:00,1775694139001787000,1776922416,1.479886750,2,408,199.413489736,201,98.287768423,463,45.840790843,122.074018016,98.287768423,86.394643627,98.367690640
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:19.601+09:00,1775694139601754000,2376890875,2.079855209,3,407,198.924731183,201,98.248481644,464,45.906398731,122.034731236,98.248481644,86.355356847,100.005257110
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:20.221+09:00,1775694140221690000,2996828291,2.699792625,4,409,199.902248289,201,98.271501497,466,46.121351767,122.057751090,98.271501497,86.378376701,96.783963109
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:20.841+09:00,1775694140841718000,3616856750,3.319821084,5,406,198.435972630,201,98.201678847,468,46.256528418,121.336250369,98.201678847,86.634393086,96.769751661
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:21.441+09:00,1775694141441301000,4216440583,3.919404917,6,407,198.924731183,201,98.144319985,468,46.307773665,121.278891506,98.144319985,86.577034224,100.069409310
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:22.071+09:00,1775694142071478000,4846619833,4.549584167,7,408,199.413489736,201,98.194648094,469,46.362903226,121.003380580,98.194648094,86.790281851,95.211005440
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:22.691+09:00,1775694142691635000,5466779041,5.169743375,8,409,199.902248289,201,98.240469208,471,46.579109063,120.723362659,98.240469208,86.999022483,96.749349564
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:23.331+09:00,1775694143331594000,6106738583,5.809702917,9,407,198.924731183,201,98.165275585,473,46.733995037,120.648169035,98.165275585,86.923828859,93.755926840
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:23.951+09:00,1775694143951571000,6726717041,6.429681375,10,407,198.924731183,201,98.248227280,473,46.735791091,120.079442660,98.248227280,87.332619591,96.777556100
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:24.581+09:00,1775694144581225000,7356371916,7.059336250,11,407,198.924731183,201,98.194648094,473,46.756048387,120.351702509,98.194648094,87.116120886,95.290296927
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:25.201+09:00,1775694145201455000,7976603250,7.679567584,12,396,193.548387097,201,98.155130413,474,46.823348694,120.638023864,98.155130413,86.913683688,96.738098691
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:25.811+09:00,1775694145811456000,8586606333,8.289570667,13,399,195.014662757,201,98.145870779,474,46.895941727,117.696212910,98.145870779,88.370699713,98.360158616
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:26.431+09:00,1775694146431468000,9206619791,8.909584125,14,400,195.503421310,201,98.240469208,474,46.883256528,117.139133268,98.240469208,88.791137178,96.772092970
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:27.041+09:00,1775694147041483000,9816635250,9.519599584,15,403,196.969696970,201,98.193169993,474,46.861602497,115.788477911,98.193169993,89.395516034,98.358163084
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:27.661+09:00,1775694147661371000,10436525500,10.139489834,16,398,194.525904203,201,98.155130413,474,46.854070661,117.705472544,98.155130413,88.379959348,96.791327174
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:28.300+09:00,1775694148300772000,11075925541,10.778889875,17,393,192.082111437,201,98.157756222,474,46.869478908,117.056420282,98.157756222,88.708424192,93.837967083
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:28.911+09:00,1775694148911021000,11686176708,11.389141042,18,393,192.082111437,201,98.224702803,474,46.883454735,118.426723005,98.224702803,88.123692702,98.320172487
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:29.571+09:00,1775694149571442000,12346600291,12.049564625,19,393,192.082111437,201,98.131045652,465,45.975445354,118.333065854,98.131045652,88.030035550,90.850783564
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:30.181+09:00,1775694150181591000,12956751416,12.659715750,20,393,192.082111437,201,98.248352411,459,45.438085328,118.450372613,98.248352411,88.147342310,98.336293324
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:30.811+09:00,1775694150811497000,13586657250,13.289621584,21,396,193.548387097,201,98.164100684,459,45.439012097,118.691959922,98.164100684,87.900171065,95.252332589
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:31.421+09:00,1775694151421668000,14196829791,13.899794125,22,397,194.037145650,201,98.177403588,461,45.595733611,119.031101861,98.177403588,87.750554452,98.332841890
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:32.041+09:00,1775694152041069000,14816232125,14.519196459,23,399,195.014662757,201,98.255985353,464,45.892473118,119.761361697,98.255985353,87.503297181,96.867571700
2026-04-09T09:22:17.420+09:00,2026-04-09T09:22:17.521+09:00,2026-04-09T09:22:32.661+09:00,1775694152661507000,15436671708,15.139636042,24,397,194.037145650,201,98.193920775,465,45.989247312,119.047619048,98.193920775,87.767071638,96.705628790
