開始時刻,記録開始時刻,現在時刻,epoch_ns,monotonic_ns,経過時間,計測回数,BP waveform Raw,BP waveform [mmHg],MAP Raw,MAP [mmHg],CO Raw,CO [L/min],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:41.756+09:00,1775554661756283000,125709829416,1.390312500,1,389,190.127077224,201,98.101617346,463,45.781158358,113.090212980,98.101617346,90.607319530,68.983288367
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:42.585+09:00,1775554662585616000,126539162000,2.219645084,2,390,190.615835777,201,98.095005353,465,45.996543779,113.083600987,98.095005353,90.600707536,72.347332250
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:43.426+09:00,1775554663426149000,127379697708,3.060180792,3,394,192.570869990,201,98.027715485,468,46.268690702,113.667989190,98.027715485,90.207578633,71.383047060
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:44.286+09:00,1775554664286214000,128239763541,3.920246625,4,395,193.059628543,201,98.066313862,470,46.469410456,114.358265637,98.066313862,89.920337974,69.762101572
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:45.076+09:00,1775554665076047000,129029597750,4.710080834,5,393,192.082111437,201,98.154936461,471,46.555241935,113.469371131,98.154936461,90.497719127,75.965309322
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:45.906+09:00,1775554665906115000,129859666708,5.540149792,6,394,192.570869990,201,98.135735233,472,46.684331797,113.450169902,98.135735233,90.478517898,72.283151203
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:46.736+09:00,1775554666736146000,130689698708,6.370181792,7,394,192.570869990,201,98.065912582,474,46.880184332,113.380347251,98.065912582,90.408695247,72.286369682
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:47.576+09:00,1775554667576053000,131529607708,7.210090792,8,391,191.104594330,201,98.079466391,474,46.828842505,114.371418166,98.079466391,89.933490503,71.436310362
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:48.375+09:00,1775554668375765000,132329320625,8.009803709,9,391,191.104594330,201,98.095651859,469,46.363201912,113.410086528,98.095651859,90.438434524,75.026923693
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:49.206+09:00,1775554669206835000,133160391291,8.840874375,10,393,192.082111437,201,98.089186799,468,46.245391705,114.055299539,98.089186799,90.106130429,72.196026709
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:50.045+09:00,1775554670045202000,133998759000,9.679242084,11,392,191.593352884,201,98.119717095,468,46.324478178,113.759990800,98.119717095,90.299580243,71.567641926
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:50.875+09:00,1775554670875955000,134829514708,10.509997792,12,394,192.570869990,201,98.089186799,468,46.266129032,114.055299539,98.089186799,90.106130429,72.223397832
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:51.746+09:00,1775554671746015000,135699575583,11.380058667,13,395,193.059628543,201,98.168266240,467,46.192448680,113.482700909,98.168266240,90.511048905,68.960691975
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:52.605+09:00,1775554672605917000,136559478666,12.239961750,14,375,183.284457478,201,98.094403434,469,46.434927697,110.476286783,98.094403434,91.903461759,69.775305132
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:37:53.023+09:00,1775554673023370000,136976931875,12.657414959,15,369,180.351906158,201,98.100823907,472,46.661290323,100.707536191,98.100823907,96.797467765,143.728683135
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:05.836+09:00,1775554685836023000,149789605041,25.470088125,16,314,153.470185728,201,98.089186799,359,35.728110599,100.695899083,98.089186799,96.785830657,146.014414986
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:06.256+09:00,1775554686256172000,150209754958,25.890238042,17,329,160.801564027,201,98.092704994,394,39.120030008,104.609485705,98.092704994,94.834314639,142.806168875
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:06.665+09:00,1775554686665958000,150619540791,26.300023875,18,314,153.470185728,201,98.007727040,396,39.317972350,102.895312573,98.007727040,95.563934274,146.417946079
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:07.118+09:00,1775554687118969000,151072553000,26.753036084,19,334,163.245356794,201,98.049215861,398,39.490883590,106.521030785,98.049215861,93.813308400,132.446761496
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:07.525+09:00,1775554687525739000,151479322791,27.159805875,20,316,154.447702835,201,98.054275474,399,39.629032258,103.919378113,98.054275474,95.121724154,147.503578996
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:07.945+09:00,1775554687945490000,151899075708,27.579558792,21,363,177.419354839,201,98.047239082,400,39.702925731,114.665029894,98.047239082,89.738343677,142.941234164
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:08.355+09:00,1775554688355669000,152309254333,27.989737417,22,349,170.576735093,200,97.984452823,415,41.168202765,103.197877391,97.984452823,95.377740539,146.277734487
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:08.797+09:00,1775554688797800000,152751385583,28.431868667,23,380,185.728250244,201,98.110133594,427,42.279569892,114.402085370,98.110133594,89.964157706,135.706308930
2026-04-07T18:35:36.244+09:00,2026-04-07T18:37:40.365+09:00,2026-04-07T18:38:09.204+09:00,1775554689204924000,153158509750,28.838992834,24,350,171.065493646,201,98.100823907,457,45.202764977,107.875994973,98.100823907,93.213238375,147.375186401
