開始時刻,記録開始時刻,現在時刻,epoch_ns,monotonic_ns,経過時間,計測回数,BP waveform Raw,BP waveform [mmHg],MAP Raw,MAP [mmHg],CO Raw,CO [L/min],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:53.705+09:00,1776326453705614000,1571991958,1.169911833,1,367,179.374389052,201,98.132942326,414,41.046129032,121.267513848,98.132942326,86.565656566,60.614249652
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:54.605+09:00,1776326454605642000,2472017583,2.069937458,2,364,177.908113392,201,98.197501423,412,40.880538816,119.377038732,98.197501423,87.607732769,66.664768573
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:55.545+09:00,1776326455545392000,3411765291,3.009685166,3,368,179.863147605,201,98.199310593,411,40.821052632,121.008043079,98.199310593,86.794944350,63.846923477
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:56.545+09:00,1776326456545767000,4412138291,4.010058166,4,365,178.396871945,201,98.177559691,411,40.752155861,122.289648320,98.177559691,86.121515377,59.977628345
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:57.525+09:00,1776326457525506000,5391874791,4.989794666,5,360,175.953079179,201,98.146667062,408,40.441837732,120.629560512,98.146667062,86.905220336,61.240956114
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:58.475+09:00,1776326458475736000,6342102958,5.940022833,6,360,175.953079179,201,98.143735745,404,40.055443548,120.300790160,98.143735745,87.065208537,63.142729382
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:00:59.445+09:00,1776326459445450000,7311814458,6.909734333,7,364,177.908113392,201,98.175633890,401,39.843976300,121.310205412,98.175633890,86.608348129,61.874072856
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:00.465+09:00,1776326460465429000,8331790791,7.929710666,8,360,175.953079179,201,98.273685809,402,39.928593799,121.408257331,98.273685809,86.706400048,58.824894322
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:01.435+09:00,1776326461435536000,9301895291,8.899815166,9,357,174.486803519,201,98.190595886,401,39.833113891,120.021811266,98.190595886,87.274988197,61.849006988
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:02.425+09:00,1776326462425410000,10291767583,9.889687458,10,360,175.953079179,201,98.113391984,398,39.511290323,120.922124471,98.113391984,86.709025741,60.613879674
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:03.425+09:00,1776326463425399000,11291754416,10.889674291,11,356,173.998044966,201,98.298539531,397,39.389651868,121.433111053,98.298539531,86.731253771,60.000790030
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:04.404+09:00,1776326464404023000,12270375750,11.868295625,12,354,173.020527859,201,98.166414882,396,39.368523949,117.716757013,98.166414882,88.391243816,61.310741873
2026-04-16T17:00:52.343+09:00,2026-04-16T17:00:52.535+09:00,2026-04-16T17:01:05.320+09:00,1776326465320323000,13186674041,12.784593916,13,363,177.419354839,201,98.169870751,397,39.384946237,120.001086130,98.169870751,87.254263061,65.480859879
