開始時刻,記録開始時刻,現在時刻,epoch_ns,monotonic_ns,経過時間,計測回数,BP waveform Raw,BP waveform [mmHg],MAP Raw,MAP [mmHg],CO Raw,CO [L/min],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:18.521+09:00,1775726478521587000,1364577375,0.880023584,1,329,160.801564027,201,98.140362035,362,36.080062184,115.735669953,98.140362035,89.342708076,73.162006513
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:19.341+09:00,1775726479341409000,2184400500,1.699846709,2,331,161.779081134,201,98.187471293,362,36.015934707,115.782779211,98.187471293,89.389817334,73.186518129
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:20.220+09:00,1775726480220845000,3063837291,2.579283500,3,330,161.290322581,201,98.185552517,359,35.738673432,116.758377541,98.185552517,88.899140005,68.225483189
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:21.081+09:00,1775726481081493000,3924488250,3.439934459,4,326,159.335288368,201,98.150582578,357,35.506117909,117.049246638,98.150582578,88.701250548,69.714672798
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:21.911+09:00,1775726481911294000,4754291125,4.269737334,5,323,157.869012708,201,98.112461016,353,35.141705069,115.707768934,98.112461016,89.314807057,72.306329380
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:22.711+09:00,1775726482711220000,5554218458,5.069664667,6,327,159.824046921,201,98.101685915,349,34.806451613,116.022832869,98.101685915,89.141112439,75.006813150
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:23.521+09:00,1775726483521192000,6364192291,5.879638500,7,339,165.689149560,201,98.210666857,350,34.907553108,119.064365130,98.210666857,87.783817721,74.076467110
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:24.351+09:00,1775726484351114000,7194116375,6.709562584,8,337,164.711632454,201,98.147372341,351,34.961981567,122.259460969,98.147372341,86.091328027,72.295769163
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:25.121+09:00,1775726485121040000,7964044458,7.479490667,9,335,163.734115347,201,98.152743314,351,34.968982630,121.938992907,98.152743314,86.259618518,77.929356423
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:25.951+09:00,1775726485951032000,8794037625,8.309483834,10,332,162.267839687,201,98.217194991,351,34.973502304,121.351766513,98.217194991,86.649909231,72.289751754
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:26.781+09:00,1775726486781063000,9624070041,9.139516250,11,329,160.801564027,201,98.089186799,351,34.973502304,120.246241214,98.089186799,87.010659591,72.286333453
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:27.581+09:00,1775726487581017000,10424025916,9.939472125,12,334,163.245356794,201,98.071515634,351,34.971326165,120.880248120,98.071515634,86.667149391,75.004136947
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:28.001+09:00,1775726488001011000,10844020916,10.359467125,13,299,146.138807429,201,98.115437950,351,34.981245311,118.317458152,98.115437950,88.014427849,142.858843558
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:28.410+09:00,1775726488410986000,11253996500,10.769442709,14,346,169.110459433,201,98.275380533,351,34.949308756,116.522366522,98.275380533,89.151887539,146.350178746
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:29.241+09:00,1775726489241078000,12084090541,11.599536750,15,350,171.065493646,201,98.096063272,389,38.607771261,117.646405403,98.096063272,88.320892207,139.494265586
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:29.651+09:00,1775726489651004000,12494017208,12.009463417,16,305,149.071358749,201,98.100823907,387,38.483870968,112.763580506,98.100823907,90.769445608,146.367642874
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:30.081+09:00,1775726490081031000,12924045375,12.439491584,17,349,170.576735093,201,98.129387719,385,38.266862170,117.028051779,98.129387719,88.680055689,139.525744136
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:30.491+09:00,1775726490491063000,13334078291,12.849524500,18,304,148.582600196,201,98.147372341,385,38.237327189,113.135967975,98.147372341,90.653074524,146.329715637
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:30.951+09:00,1775726490951041000,13794056833,13.309503042,19,345,168.621700880,201,98.074083318,384,38.194234729,115.995230271,98.074083318,89.113509841,130.440867392
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:31.791+09:00,1775726491791030000,14634048250,14.149494459,20,342,167.155425220,201,98.131217296,382,37.968880455,116.052364250,98.131217296,89.170643820,71.429301283
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:32.580+09:00,1775726492580768000,15423788291,14.939234500,21,345,168.621700880,201,98.124389052,379,37.635080645,115.719696970,98.124389052,89.326735093,75.974367368
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:33.421+09:00,1775726493421012000,16264033541,15.779479750,22,349,170.576735093,201,98.200218504,378,37.579506641,117.750560635,98.200218504,88.425047438,71.407722924
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:34.240+09:00,1775726494240999000,17084022083,16.599468292,23,351,171.554252199,201,98.152139349,381,37.826661485,117.376642445,98.152139349,88.539887801,73.171754149
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:35.080+09:00,1775726495080997000,17924022291,17.439468500,24,351,171.554252199,201,98.165717900,385,38.220493359,117.064381960,98.165717900,88.716385870,71.428553742
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:35.711+09:00,1775726495711347000,18554373458,18.069819667,25,337,164.711632454,201,98.164100684,387,38.413810484,115.107730531,98.164100684,89.692285761,95.185038342
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:36.171+09:00,1775726496171041000,19014067916,18.529514125,26,358,174.975562072,201,98.230070090,388,38.542210021,121.690480647,98.230070090,86.499864811,130.521477812
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:37.049+09:00,1775726497049724000,19892753125,19.408199334,27,357,174.486803519,201,98.150697229,453,44.832784727,123.891981035,98.150697229,85.280055326,125.315158748
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:37.599+09:00,1775726497599912000,20442942250,19.958388459,28,402,196.480938416,201,98.144463064,451,44.605414747,124.211585905,98.144463064,85.110901643,109.053409589
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:38.021+09:00,1775726498021035000,20864065583,20.379511792,29,340,166.177908113,201,98.251835686,450,44.530382596,118.453855888,98.251835686,88.150825585,142.476076005
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:38.490+09:00,1775726498490871000,21333903083,20.849349292,30,398,194.525904203,201,98.179374389,448,44.352822581,123.920658195,98.179374389,85.308732486,127.703727353
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:38.891+09:00,1775726498891116000,21734148625,21.249594834,31,338,165.200391007,201,98.145101686,446,44.166011015,118.021282852,98.145101686,88.207011102,149.907978238
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:39.361+09:00,1775726499361009000,22204042583,21.719488792,32,392,191.593352884,201,98.271016618,442,43.778225806,123.034783317,98.271016618,85.889133268,127.688383684
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:40.211+09:00,1775726500211056000,23054092375,22.569538584,33,391,191.104594330,201,98.172270340,438,43.360090023,122.936037040,98.172270340,85.790386991,70.584100561
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:41.060+09:00,1775726501060911000,23903948708,23.419394917,34,395,193.059628543,201,98.177953579,434,42.986496624,123.267559314,98.177953579,85.633150712,70.600168135
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:41.921+09:00,1775726501921008000,24764047125,24.279493334,35,398,194.525904203,201,98.217997551,436,43.171301446,124.285120392,98.217997551,85.184436130,69.759458702
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:42.781+09:00,1775726502781026000,25624067208,25.139513417,36,399,195.014662757,201,98.178672150,440,43.567296997,124.245794991,98.178672150,85.145110729,69.765812666
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:43.640+09:00,1775726503640704000,26483747416,25.999193625,37,392,191.593352884,201,98.234851294,442,43.771968854,123.976135100,98.234851294,85.364209391,69.793394615
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:44.450+09:00,1775726504450054000,27293098875,26.808545084,38,391,191.104594330,201,98.162983096,441,43.682140047,120.645876547,98.162983096,86.921536371,74.133430332
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:45.260+09:00,1775726505260126000,28103172750,27.618618959,39,397,194.037145650,201,98.162983096,440,43.578284815,122.600910760,98.162983096,85.944019264,74.067318860
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:46.060+09:00,1775726506060322000,28903369458,28.418815667,40,399,195.014662757,201,98.198230815,442,43.756272401,122.310319443,98.198230815,86.142186501,74.981563158
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:46.930+09:00,1775726506930977000,29774027791,29.289474000,41,401,195.992179863,201,98.207144761,446,44.188782991,123.622589532,98.207144761,85.499422376,68.913370177
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:47.800+09:00,1775726507800103000,30643154583,30.158600792,42,399,195.014662757,201,98.196036612,449,44.420821114,124.588998489,98.196036612,84.999555674,69.034806604
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:48.690+09:00,1775726508690994000,31534047500,31.049493709,43,393,192.082111437,201,98.077549690,447,44.234408602,124.470511567,98.077549690,84.881068752,67.348161440
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:49.581+09:00,1775726509581022000,32424077500,31.939523709,44,388,189.638318671,201,98.169870751,441,43.690322581,124.236993592,98.169870751,85.136309330,67.413457973
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:50.440+09:00,1775726510440990000,33284047791,32.799494000,45,379,185.239491691,201,98.178672150,434,42.972191324,122.290760778,98.178672150,86.122627836,69.769852084
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:51.270+09:00,1775726511270991000,34114050000,33.629496209,46,384,187.683284457,201,98.164828004,427,42.314516129,121.625238561,98.164828004,86.434622725,72.288964233
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:52.091+09:00,1775726512091003000,34934064708,34.449510917,47,391,191.104594330,201,98.228691894,425,42.136027983,122.014941486,98.228691894,86.335567097,73.169419298
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:52.900+09:00,1775726512900922000,35743984750,35.259430959,48,399,195.014662757,201,98.216627328,432,42.828874902,122.654554991,98.216627328,85.997663496,74.081386913
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:53.720+09:00,1775726513720997000,36564061541,36.079507750,49,404,197.458455523,201,98.128584720,444,43.966575981,122.892351419,98.128584720,85.746701370,73.163880088
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:54.541+09:00,1775726514541018000,37384084375,36.899530584,50,404,197.458455523,201,98.275801152,454,44.927322192,121.736211709,98.275801152,86.545595873,73.168694227
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:55.370+09:00,1775726515370975000,38214042916,37.729489125,51,399,195.014662757,201,98.159009449,459,45.405529954,122.596937113,98.159009449,85.940045617,72.292767694
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:56.180+09:00,1775726516180981000,39024050666,38.539496875,52,397,194.037145650,201,98.192785447,457,45.189221086,121.327356969,98.192785447,86.625499686,74.073365347
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:57.001+09:00,1775726517001070000,39844142000,39.359588209,53,398,194.525904203,201,98.134473377,453,44.852701127,122.246562006,98.134473377,86.078429063,73.162582645
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:57.840+09:00,1775726517840995000,40684068750,40.199514959,54,401,195.992179863,201,98.154217699,451,44.646299810,123.569662469,98.154217699,85.446495314,71.434800713
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:58.700+09:00,1775726518700901000,41543976291,41.059422500,55,396,193.548387097,201,98.223615465,449,44.452725250,124.942416377,98.223615465,84.864215009,69.774943397
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:21:59.559+09:00,1775726519559816000,42402893333,41.918339542,56,394,192.570869990,201,98.161818407,444,44.008898776,124.228941248,98.161818407,85.128256986,69.855407526
2026-04-09T18:21:17.389+09:00,2026-04-09T18:21:17.641+09:00,2026-04-09T18:22:00.430+09:00,1775726520430976000,43274054750,42.789500959,57,389,190.127077224,201,98.134941793,439,43.453079179,124.853742706,98.134941793,84.775541337,68.873573633
