開始時刻,記録開始時刻,現在時刻,epoch_ns,monotonic_ns,経過時間,計測回数,BP waveform Raw,BP waveform [mmHg],MAP Raw,MAP [mmHg],CO Raw,CO [L/min],Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:37.000+09:00,1776325417000448000,1256229125,0.890044250,1,333,162.756598240,201,98.234435152,361,35.955794504,120.717328603,98.234435152,86.992988427,74.966612495
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:37.800+09:00,1776325417800426000,2056205125,1.690020250,2,334,163.245356794,201,98.300809770,360,35.806451613,117.525312866,98.300809770,88.688558223,75.002250068
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:38.560+09:00,1776325418560510000,2816288083,2.450103208,3,338,165.200391007,201,98.100823907,359,35.709258483,117.651166038,98.100823907,88.325652842,78.938751841
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:39.299+09:00,1776325419299412000,3555188875,3.189004000,4,341,166.666666667,201,98.246985989,362,35.993548387,120.078201369,98.246985989,87.331378299,81.201699402
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:40.080+09:00,1776325420080185000,4335959083,3.969774208,5,342,167.155425220,201,98.296150562,364,36.222131482,119.475687871,98.296150562,87.706381908,76.847194456
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:40.840+09:00,1776325420840224000,5095996708,4.729811833,6,342,167.155425220,201,98.259511749,366,36.416841223,119.113210022,98.259511749,87.832662613,78.943460200
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:41.600+09:00,1776325421600167000,5855938500,5.489753625,7,338,165.200391007,201,98.113518935,367,36.536237956,118.967217208,98.113518935,87.686669798,78.953415422
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:42.350+09:00,1776325422350173000,6605941083,6.239756208,8,343,167.644183773,201,98.169727839,367,36.509762309,117.068391899,98.169727839,88.720395809,79.999724481
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:43.131+09:00,1776325423131782000,7387550000,7.021365125,9,346,169.110459433,201,98.209535123,371,36.931400572,119.714911467,98.209535123,87.456846951,76.764733225
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:43.870+09:00,1776325423870060000,8125825250,7.759640375,10,344,168.132942326,201,98.090583252,374,37.210322581,119.270120560,98.090583252,87.500814598,81.270501754
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:44.650+09:00,1776325424650122000,8905886500,8.539701625,11,342,167.155425220,201,98.166227403,375,37.335647203,119.019925676,98.166227403,87.739378266,76.917036963
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:45.420+09:00,1776325425420196000,9675958458,9.309773583,12,343,167.644183773,201,98.171541720,374,37.212158809,118.373561922,98.171541720,88.070531619,77.914796633
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:46.230+09:00,1776325426230094000,10485854541,10.119669666,13,343,167.644183773,201,98.121259805,374,37.197088906,119.300797114,98.121259805,87.531491151,74.083578448
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:47.040+09:00,1776325427040132000,11295890958,10.929706083,14,342,167.155425220,201,98.228548268,372,37.000000000,121.037280754,98.228548268,86.824182025,74.070743908
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:47.830+09:00,1776325427830093000,12085849375,11.719664500,15,334,163.245356794,201,98.240469208,367,36.528225806,123.655913978,98.240469208,85.532746823,75.953365024
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:48.650+09:00,1776325428650125000,12905879208,12.539694333,16,337,164.711632454,201,98.252246523,360,35.811892732,120.735139973,98.252246523,87.010799797,73.168069728
2026-04-16T16:43:36.008+09:00,2026-04-16T16:43:36.110+09:00,2026-04-16T16:43:49.439+09:00,1776325429439547000,13695298625,13.329113750,17,339,165.689149560,201,98.197702835,361,35.917338710,121.332274356,98.197702835,86.630417074,76.005224483
