経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.043, 4.2040, 0.0000, 6.7790, 0.8190, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 119.87, 87.30, 119.87, 87.30, 0.7305, 0.6829, 2.8711, 3.0709, 1.1017, 713.0000, 0.0000, 0, 21, 0.7411, 9.9429, 9.2018, 3.1703, 0.4025, 0.5975, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.807, 4.6525, 74.8441, 5.1322, 1.4218, 4.6525, 74.8441, 5.1322, 0.9889, 0.1484, 118.91, 87.76, 118.91, 87.76, 0.9889, 0.1484, 0.6905, 4.6010, 0.6136, 768.0000, 801.6661, 1, 24, 0.4834, 9.8679, 9.3846, 3.3465, 0.3932, 0.6068, 118.91, 87.76, 118.91, 87.76, 0, 0, 0, 1, ok, ok, 98.1445, 31.1455, 98.1445, 31.1455, 98.1445, 31.1455, 118.91, 87.76, 118.91, 87.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.609, 4.6978, 74.8285, 5.3713, 1.6098, 4.6978, 74.8285, 5.3713, 0.9992, -0.0390, 120.03, 87.21, 120.03, 87.21, 0.9992, -0.0390, -0.1832, 4.6942, 0.5143, 841.0000, 801.8331, 1, 25, 0.5127, 9.7859, 9.2732, 3.3614, 0.4483, 0.5517, 120.03, 87.21, 120.03, 87.21, 0, 0, 0, 1, ok, ok, 98.1539, 32.8212, 98.1473, 31.9834, 98.1473, 31.9834, 119.47, 87.49, 119.47, 87.49, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.520, 4.5831, 74.4956, 5.9251, 1.5086, 4.5831, 74.4956, 5.9251, 0.9981, 0.0622, 120.09, 87.18, 120.09, 87.18, 0.9981, 0.0622, 0.2850, 4.5742, 0.7718, 802.0000, 805.4165, 1, 24, 0.4582, 9.8815, 9.4232, 3.3313, 0.4564, 0.5436, 120.09, 87.18, 120.09, 87.18, 0, 0, 0, 1, ok, ok, 98.1518, 32.9046, 98.1486, 32.4440, 98.1486, 32.4440, 119.78, 87.33, 119.78, 87.33, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.254, 4.3293, 70.8208, 6.4417, 1.6202, 4.3293, 70.8208, 6.4417, 0.9988, -0.0493, 121.79, 86.35, 121.79, 86.35, 0.9988, -0.0493, -0.2136, 4.3240, 0.9712, 810.0000, 847.2083, 1, 24, 0.6360, 9.8840, 9.2480, 3.2116, 0.5074, 0.4926, 121.79, 86.35, 121.79, 86.35, 0, 0, 0, 1, ok, ok, 98.1653, 35.4349, 98.1536, 33.9395, 98.1536, 33.9395, 120.78, 86.84, 120.78, 86.84, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.916, 4.4560, 0.0000, 6.4956, 1.8305, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.79, 86.35, 121.79, 86.35, 0.9665, -0.2568, -1.1441, 4.3066, 1.0224, 883.0000, 0.0000, 0, 26, 0.6190, 9.8784, 9.2594, 3.3126, 0.5142, 0.4858, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.751, 4.7725, 81.8217, 6.0018, 1.6825, 4.7725, 81.8217, 6.0018, 0.9938, -0.1114, 119.14, 87.65, 119.14, 87.65, 0.9938, -0.1114, -0.5318, 4.7428, 0.6898, 724.0000, 733.3021, 1, 22, 0.4365, 9.8941, 9.4576, 3.4444, 0.5028, 0.4972, 119.14, 87.65, 119.14, 87.65, 0, 0, 0, 1, ok, ok, 98.1470, 31.4916, 98.1516, 32.7156, 98.1516, 32.7156, 119.96, 87.25, 119.96, 87.25, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.477, 4.5185, 76.9082, 6.2093, 1.3057, 4.5185, 76.9082, 6.2093, 0.9651, 0.2620, 118.84, 87.79, 118.84, 87.79, 0.9651, 0.2620, 1.1840, 4.3606, 0.8690, 688.0000, 780.1510, 1, 21, 0.5153, 9.9199, 9.4045, 3.3111, 0.4041, 0.5959, 118.84, 87.79, 118.84, 87.79, 0, 0, 0, 1, ok, ok, 98.1405, 31.0526, 98.1483, 31.8841, 98.1483, 31.8841, 119.40, 87.52, 119.40, 87.52, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.218, 4.4817, 78.6292, 4.6476, 1.4619, 4.4817, 78.6292, 4.6476, 0.9941, 0.1087, 117.15, 88.63, 117.15, 88.63, 0.9941, 0.1087, 0.4872, 4.4551, 0.5615, 825.0000, 763.0755, 1, 24, 0.3248, 9.7401, 9.4153, 3.2184, 0.4339, 0.5661, 117.15, 88.63, 117.15, 88.63, 0, 0, 0, 1, ok, ok, 98.1360, 28.5173, 98.1446, 30.2007, 98.1446, 30.2007, 118.28, 88.08, 118.28, 88.08, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.018, 4.5156, 80.7496, 5.3554, 1.3901, 4.5156, 80.7496, 5.3554, 0.9837, 0.1797, 117.08, 88.66, 117.08, 88.66, 0.9837, 0.1797, 0.8114, 4.4421, 0.6113, 754.0000, 743.0378, 1, 23, 0.4977, 9.7498, 9.2520, 3.2510, 0.3833, 0.6167, 117.08, 88.66, 117.08, 88.66, 0, 0, 0, 1, ok, ok, 98.1323, 28.4159, 98.1409, 29.3083, 98.1409, 29.3083, 117.68, 88.37, 117.68, 88.37, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.821, 4.2466, 77.7687, 5.8149, 0.9902, 4.2466, 77.7687, 5.8149, 0.8362, 0.5485, 117.04, 88.67, 117.04, 88.67, 0.8362, 0.5485, 2.3292, 3.5508, 0.9173, 720.0000, 771.5189, 1, 21, 0.4377, 9.7436, 9.3059, 3.1398, 0.3792, 0.6208, 117.04, 88.67, 117.04, 88.67, 0, 0, 0, 1, ok, ok, 98.1290, 28.3661, 98.1373, 28.8372, 98.1373, 28.8372, 117.36, 88.52, 117.36, 88.52, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.614, 4.6077, 75.4471, 4.6556, 1.3291, 4.6077, 75.4471, 4.6556, 0.9709, 0.2394, 117.82, 88.30, 117.82, 88.30, 0.9709, 0.2394, 1.1031, 4.4737, 0.7016, 796.0000, 795.2594, 1, 24, 0.3095, 9.7171, 9.4075, 3.3328, 0.3807, 0.6193, 117.82, 88.30, 117.82, 88.30, 0, 0, 0, 1, ok, ok, 98.1377, 29.5276, 98.1374, 29.1824, 98.1374, 29.1824, 117.59, 88.41, 117.59, 88.41, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.532, 4.6250, 76.4692, 5.4584, 1.2714, 4.6250, 76.4692, 5.4584, 0.9555, 0.2949, 118.24, 88.09, 118.24, 88.09, 0.9555, 0.2949, 1.3640, 4.4193, 0.6720, 820.0000, 784.6297, 1, 25, 0.5647, 9.8615, 9.2968, 3.3387, 0.3427, 0.6573, 118.24, 88.09, 118.24, 88.09, 0, 0, 0, 1, ok, ok, 98.1374, 30.1539, 98.1374, 29.6681, 98.1374, 29.6681, 117.92, 88.25, 117.92, 88.25, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
10.367, 4.4019, 70.7702, 5.6777, 1.1794, 4.4019, 70.7702, 5.6777, 0.9244, 0.3815, 119.53, 87.45, 119.53, 87.45, 0.9244, 0.3815, 1.6794, 4.0690, 0.8090, 779.0000, 847.8149, 1, 23, 0.4448, 9.7945, 9.3498, 3.2160, 0.3967, 0.6033, 119.53, 87.45, 119.53, 87.45, 0, 0, 0, 1, ok, ok, 98.1460, 32.0749, 98.1400, 30.8715, 98.1400, 30.8715, 118.72, 87.85, 118.72, 87.85, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
11.229, 4.5002, 71.0557, 4.6651, 1.2320, 4.5002, 71.0557, 4.6651, 0.9431, 0.3324, 118.65, 87.89, 118.65, 87.89, 0.9431, 0.3324, 1.4958, 4.2443, 0.4609, 898.0000, 844.4074, 1, 27, 0.3101, 9.8339, 9.5238, 3.2153, 0.3563, 0.6437, 118.65, 87.89, 118.65, 87.89, 0, 0, 0, 1, ok, ok, 98.1429, 30.7655, 98.1409, 30.8185, 98.1409, 30.8185, 118.69, 87.87, 118.69, 87.87, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
12.037, 3.8247, 0.0000, 3.5319, 1.6874, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.65, 87.89, 118.65, 87.89, 0.9932, -0.1163, -0.4449, 3.7987, 1.3008, 838.0000, 0.0000, 0, 25, 0.3184, 9.6396, 9.3212, 3.0011, 0.3640, 0.6360, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
12.828, 4.7204, 71.5263, 4.7085, 1.3178, 4.7204, 71.5263, 4.7085, 0.9682, 0.2503, 119.18, 87.63, 119.18, 87.63, 0.9682, 0.2503, 1.1814, 4.5702, 0.6065, 884.0000, 838.8519, 1, 27, 0.3036, 9.8516, 9.5480, 3.3925, 0.3846, 0.6154, 119.18, 87.63, 119.18, 87.63, 0, 0, 0, 1, ok, ok, 98.1456, 31.5513, 98.1423, 31.1849, 98.1423, 31.1849, 118.93, 87.75, 118.93, 87.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.515, 4.5482, 74.6802, 4.7349, 1.4353, 4.5482, 74.6802, 4.7349, 0.9908, 0.1350, 118.41, 88.01, 118.41, 88.01, 0.9908, 0.1350, 0.6142, 4.5066, 0.3705, 813.0000, 803.4259, 1, 24, 0.3478, 9.9142, 9.5664, 3.2374, 0.4637, 0.5363, 118.41, 88.01, 118.41, 88.01, 0, 0, 0, 1, ok, ok, 98.1432, 30.3933, 98.1426, 30.7891, 98.1426, 30.7891, 118.67, 87.88, 118.67, 87.88, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
14.262, 4.2515, 79.6587, 5.1298, 1.5468, 4.2515, 79.6587, 5.1298, 0.9996, 0.0240, 117.33, 88.54, 117.33, 88.54, 0.9997, 0.0240, 0.1021, 4.2503, 0.5830, 784.0000, 753.2130, 1, 23, 0.4480, 9.8891, 9.4411, 3.0623, 0.5357, 0.4643, 117.33, 88.54, 117.33, 88.54, 0, 0, 1, 1, sinPhi:0.9997->0.9996, ok, 98.1388, 28.7897, 98.1414, 29.7894, 98.1414, 29.7894, 118.00, 88.21, 118.00, 88.21, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
15.102, 4.5722, 81.2341, 5.1102, 2.1855, 4.5722, 81.2341, 5.1102, 0.8170, -0.5767, 120.94, 86.79, 120.94, 86.79, 0.8170, -0.5767, -2.6367, 3.7353, 0.4604, 678.0000, 738.6065, 1, 21, 0.5232, 9.9568, 9.4336, 3.2656, 0.5088, 0.4912, 120.94, 86.79, 120.94, 86.79, 0, 0, 0, 1, ok, ok, 98.1735, 34.1431, 98.1510, 31.9662, 98.1510, 31.9662, 119.46, 87.50, 119.46, 87.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
15.871, 4.7456, 75.8722, 5.6567, 1.2818, 4.7456, 75.8722, 5.6567, 0.9585, 0.2850, 118.86, 87.78, 118.86, 87.78, 0.9585, 0.2850, 1.3526, 4.5488, 0.5472, 748.0000, 790.8032, 1, 22, 0.4347, 9.9241, 9.4894, 3.4000, 0.4358, 0.5642, 118.86, 87.78, 118.86, 87.78, 0, 0, 0, 1, ok, ok, 98.1402, 31.0793, 98.1478, 31.5228, 98.1478, 31.5228, 119.16, 87.64, 119.16, 87.64, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
16.518, 4.3521, 76.7851, 4.5811, 1.3465, 4.3521, 76.7851, 4.5811, 0.9749, 0.2225, 116.98, 88.71, 116.98, 88.71, 0.9749, 0.2225, 0.9682, 4.2431, 0.3755, 831.0000, 781.4016, 1, 25, 0.3112, 9.7189, 9.4077, 3.1002, 0.4404, 0.5596, 116.98, 88.71, 116.98, 88.71, 0, 0, 0, 1, ok, ok, 98.1344, 28.2690, 98.1438, 29.8959, 98.1438, 29.8959, 118.07, 88.18, 118.07, 88.18, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.305, 4.4715, 82.7928, 4.3638, 2.0484, 4.4715, 82.7928, 4.3638, 0.8881, -0.4596, 118.65, 87.91, 118.65, 87.91, 0.8881, -0.4596, -2.0552, 3.9712, 0.7321, 777.0000, 724.7008, 1, 23, 0.3552, 9.8291, 9.4740, 3.2455, 0.4672, 0.5328, 118.65, 87.91, 118.65, 87.91, 0, 0, 0, 1, ok, ok, 98.1580, 30.7370, 98.1481, 30.3165, 98.1481, 30.3165, 118.36, 88.04, 118.36, 88.04, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
