経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.052, 4.9363, 0.0000, 4.8238, 1.0738, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.8790, 0.4768, 2.3537, 4.3390, 0.6927, 897.0000, 0.0000, 0, 27, 0.4082, 9.8631, 9.4549, 3.5585, 0.3233, 0.6767, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.090, 4.9363, 0.0000, 4.8238, 1.0738, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.8790, 0.4768, 2.3537, 4.3390, 0.6927, 897.0000, 0.0000, 0, 27, 0.4082, 9.8631, 9.4549, 3.5585, 0.3233, 0.6767, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.979, 4.8186, 0.0000, 4.7760, 1.2989, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.9633, 0.2686, 1.2942, 4.6416, 0.7858, 936.0000, 0.0000, 0, 28, 0.4671, 9.8582, 9.3911, 3.4967, 0.3558, 0.6442, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.572, 4.8271, 0.0000, 5.5070, 1.2532, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.9500, 0.3123, 1.5074, 4.5857, 0.7064, 883.0000, 0.0000, 0, 26, 0.2203, 9.8993, 9.6790, 3.4856, 0.4428, 0.5572, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.804, 4.0784, 0.0000, 6.6483, 0.8142, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.7272, 0.6865, 2.7997, 2.9656, 1.2193, 918.0000, 0.0000, 0, 28, 1.2296, 9.7046, 8.4750, 3.1310, 0.3431, 0.6569, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.713, 0.3640, 0.0000, 9.1745, 2.7294, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.4006, -0.9163, -0.3335, 0.1458, 0.0891, 563.0000, 0.0000, 0, 17, 8.7998, 9.6994, 0.8996, 0.2724, 0.7016, 0.2984, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, invalid_amplitude, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.614, 5.1026, 0.0000, 5.4333, 0.6790, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.6280, 0.7782, 3.9708, 3.2046, 1.0643, 1247.0000, 0.0000, 0, 38, 0.2608, 9.8434, 9.5826, 3.7618, 0.2502, 0.7498, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.477, 4.5608, 0.0000, 4.9998, 1.1930, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.9295, 0.3688, 1.6822, 4.2393, 0.9378, 907.0000, 0.0000, 0, 28, 0.4932, 9.8137, 9.3205, 3.3586, 0.3010, 0.6990, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.347, 4.8388, 0.0000, 5.0186, 1.5207, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.9987, 0.0501, 0.2423, 4.8327, 0.5642, 909.0000, 0.0000, 0, 27, 0.3704, 9.8670, 9.4967, 3.4677, 0.4213, 0.5787, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.184, 4.0373, 0.0000, 6.6080, 0.8199, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.83, 88.81, 116.83, 88.81, 0.7311, 0.6823, 2.7547, 2.9515, 1.1010, 842.0000, 0.0000, 0, 25, 0.9360, 9.8575, 8.9215, 3.0597, 0.3670, 0.6330, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
