経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.023, 3.6765, 92.1830, 4.6125, 1.4294, 3.6765, 92.1830, 4.6125, 0.9900, 0.1409, 123.47, 85.50, 0.9900, 0.1409, 0.5180, 3.6398, 0.7503, 619.0000, 650.8790, 1, 18, 0.6699, 9.1597, 8.4897, 2.7058, 0.4103, 0.5897, 123.47, 85.50, 123.47, 85.50, 0, 0, 0, 1, ok, ok, 98.1592, 37.9665, 98.1592, 37.9665, 98.1592, 37.9665, 123.47, 85.50, 123.47, 85.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.292, 3.6765, 92.1830, 4.6125, 1.4294, 3.6765, 92.1830, 4.6125, 0.9900, 0.1409, 123.47, 85.50, 0.9900, 0.1409, 0.5180, 3.6398, 0.7503, 619.0000, 650.8790, 1, 18, 0.6699, 9.1597, 8.4897, 2.7058, 0.4103, 0.5897, 123.47, 85.50, 123.47, 85.50, 0, 0, 0, 1, ok, ok, 98.1592, 37.9665, 98.1592, 37.9665, 98.1592, 37.9665, 123.47, 85.50, 123.47, 85.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.929, 3.8732, 91.7516, 5.0616, 1.4331, 3.8732, 91.7516, 5.0616, 0.9905, 0.1373, 122.93, 85.77, 0.9905, 0.1373, 0.5316, 3.8365, 0.7706, 648.0000, 653.9395, 1, 20, 0.6583, 9.3348, 8.6765, 2.8451, 0.3904, 0.6096, 122.93, 85.77, 122.93, 85.77, 0, 0, 0, 1, ok, ok, 98.1546, 37.1607, 98.1578, 37.5636, 98.1578, 37.5636, 123.20, 85.64, 123.20, 85.64, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.561, 3.1737, 0.0000, 5.0427, 1.2721, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.93, 85.77, 0.9557, 0.2943, 0.9341, 3.0332, 1.0652, 656.0000, 0.0000, 0, 19, 0.6211, 9.0621, 8.4410, 2.4841, 0.3841, 0.6159, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.235, 4.1462, 92.5948, 4.4909, 1.5797, 4.1462, 92.5948, 4.4909, 0.9996, -0.0090, 122.01, 86.23, 1.0000, -0.0090, -0.0371, 4.1461, 0.7167, 641.0000, 647.9849, 1, 20, 0.5934, 9.3192, 8.7258, 3.0182, 0.3822, 0.6178, 122.01, 86.23, 122.01, 86.23, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 98.1577, 35.7828, 98.1578, 36.6732, 98.1578, 36.6732, 122.61, 85.93, 122.61, 85.93, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.866, 3.7564, 92.5937, 4.5593, 1.4195, 3.7564, 92.5937, 4.5593, 0.9886, 0.1507, 123.35, 85.56, 0.9886, 0.1507, 0.5661, 3.7135, 0.7749, 657.0000, 647.9924, 1, 19, 0.5943, 9.1880, 8.5937, 2.7669, 0.4521, 0.5479, 123.35, 85.56, 123.35, 85.56, 0, 0, 0, 1, ok, ok, 98.1586, 37.7813, 98.1580, 37.2272, 98.1580, 37.2272, 122.98, 85.75, 122.98, 85.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.522, 3.7992, 92.4505, 4.6568, 1.3576, 3.7992, 92.4505, 4.6568, 0.9774, 0.2116, 123.50, 85.48, 0.9774, 0.2116, 0.8040, 3.7132, 0.6641, 635.0000, 648.9962, 1, 19, 0.6375, 9.1486, 8.5111, 2.7673, 0.4173, 0.5827, 123.50, 85.48, 123.50, 85.48, 0, 0, 0, 1, ok, ok, 98.1564, 38.0144, 98.1575, 37.6208, 98.1575, 37.6208, 123.24, 85.62, 123.24, 85.62, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.261, 3.8687, 91.5334, 5.1615, 1.4132, 3.8687, 91.5334, 5.1615, 0.9876, 0.1569, 122.99, 85.73, 0.9876, 0.1569, 0.6071, 3.8208, 0.8473, 660.0000, 655.4981, 1, 20, 0.5795, 9.5110, 8.9315, 2.8638, 0.3909, 0.6091, 122.99, 85.73, 122.99, 85.73, 0, 0, 0, 1, ok, ok, 98.1537, 37.2608, 98.1564, 37.4408, 98.1564, 37.4408, 123.12, 85.68, 123.12, 85.68, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.032, 3.8146, 85.9908, 5.1062, 1.2755, 3.8146, 85.9908, 5.1062, 0.9567, 0.2910, 123.23, 85.62, 0.9567, 0.2910, 1.1101, 3.6495, 0.8110, 663.0000, 697.7491, 1, 20, 0.6701, 9.3360, 8.6659, 2.8166, 0.3952, 0.6048, 123.23, 85.62, 123.23, 85.62, 0, 0, 0, 1, ok, ok, 98.1540, 37.6082, 98.1557, 37.5245, 98.1557, 37.5245, 123.17, 85.65, 123.17, 85.65, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.742, 3.7884, 0.0000, 4.4032, 1.3521, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.23, 85.62, 0.9762, 0.2170, 0.8220, 3.6982, 1.0474, 736.0000, 0.0000, 0, 22, 0.5151, 9.3204, 8.8053, 2.8763, 0.3573, 0.6427, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
