経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.033, 4.1602, 81.5314, 4.6031, 0.9585, 4.1602, 81.5314, 4.6031, 0.8183, 0.5747, 124.89, 84.77, 0.8183, 0.5747, 2.3910, 3.4044, 0.4799, 615.0000, 735.9125, 1, 18, 0.4315, 9.4942, 9.0627, 2.9806, 0.3886, 0.6114, 124.89, 84.77, 124.89, 84.77, 0, 0, 0, 1, ok, ok, 98.1441, 40.1128, 98.1441, 40.1128, 98.1441, 40.1128, 124.89, 84.77, 124.89, 84.77, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.311, 4.1602, 81.5314, 4.6031, 0.9585, 4.1602, 81.5314, 4.6031, 0.8183, 0.5747, 124.89, 84.77, 0.8183, 0.5747, 2.3910, 3.4044, 0.4799, 615.0000, 735.9125, 1, 18, 0.4315, 9.4942, 9.0627, 2.9806, 0.3886, 0.6114, 124.89, 84.77, 124.89, 84.77, 0, 0, 0, 1, ok, ok, 98.1441, 40.1128, 98.1441, 40.1128, 98.1441, 40.1128, 124.89, 84.77, 124.89, 84.77, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.935, 3.3847, 0.0000, 3.8353, 1.9088, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 124.89, 84.77, 0.9434, -0.3316, -1.1224, 3.1931, 0.6919, 826.0000, 0.0000, 0, 25, 0.3549, 9.0734, 8.7185, 2.4913, 0.4685, 0.5315, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.578, 3.5557, 95.6971, 4.0746, 1.5170, 3.5557, 95.6971, 4.0746, 0.9986, 0.0538, 123.92, 85.29, 0.9986, 0.0538, 0.1912, 3.5506, 0.4533, 477.0000, 626.9781, 1, 14, 0.5636, 8.7320, 8.1684, 2.5548, 0.5010, 0.4990, 123.92, 85.29, 123.92, 85.29, 0, 0, 0, 1, ok, ok, 98.1635, 38.6343, 98.1499, 39.3735, 98.1499, 39.3735, 124.40, 85.03, 124.40, 85.03, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.211, 3.5897, 0.0000, 4.4654, 1.8644, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9572, -0.2895, -1.0390, 3.4360, 1.0270, 641.0000, 0.0000, 0, 20, 0.5229, 9.7739, 9.2509, 2.7382, 0.4275, 0.5725, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.876, 4.3406, 0.0000, 5.5123, 1.5305, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9992, 0.0403, 0.1749, 4.3371, 0.4625, 632.0000, 0.0000, 0, 18, 0.7351, 9.7200, 8.9848, 3.1039, 0.4604, 0.5396, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.510, 4.4729, 0.0000, 6.0453, 1.3825, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9823, 0.1872, 0.8374, 4.3938, 0.6580, 647.0000, 0.0000, 0, 20, 0.5396, 9.8556, 9.3160, 3.2305, 0.4158, 0.5842, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.184, 4.3670, 0.0000, 5.4992, 1.4580, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9936, 0.1126, 0.4915, 4.3393, 0.3824, 658.0000, 0.0000, 0, 19, 0.5516, 9.6653, 9.1137, 3.1116, 0.5122, 0.4878, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.913, 4.4946, 0.0000, 5.1876, 1.5311, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9992, 0.0397, 0.1785, 4.4911, 0.3816, 624.0000, 0.0000, 0, 19, 0.5653, 9.7778, 9.2125, 3.2010, 0.4679, 0.5321, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.613, 4.5481, 0.0000, 5.4171, 1.3276, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 123.92, 85.29, 0.9706, 0.2408, 1.0953, 4.4143, 0.3995, 668.0000, 0.0000, 0, 20, 0.6461, 9.7914, 9.1452, 3.2407, 0.4506, 0.5494, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
