経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.040, 4.5716, 66.0543, 4.5187, 1.1337, 4.5716, 66.0543, 4.5187, 0.9060, 0.4233, 119.85, 87.30, 119.85, 87.30, 0.9060, 0.4233, 1.9352, 4.1418, 0.7374, 945.0000, 908.3437, 1, 28, 0.2476, 9.5510, 9.3035, 3.3156, 0.3291, 0.6709, 119.85, 87.30, 119.85, 87.30, 0, 0, 0, 1, ok, ok, 98.1498, 32.5463, 98.1498, 32.5463, 98.1498, 32.5463, 119.85, 87.30, 119.85, 87.30, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.792, 4.5716, 66.0543, 4.5187, 1.1337, 4.5716, 66.0543, 4.5187, 0.9060, 0.4233, 119.85, 87.30, 119.85, 87.30, 0.9060, 0.4233, 1.9352, 4.1418, 0.7374, 945.0000, 908.3437, 1, 28, 0.2476, 9.5510, 9.3035, 3.3156, 0.3291, 0.6709, 119.85, 87.30, 119.85, 87.30, 0, 0, 0, 1, ok, ok, 98.1498, 32.5463, 98.1498, 32.5463, 98.1498, 32.5463, 119.85, 87.30, 119.85, 87.30, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.756, 4.2891, 64.3658, 4.9960, 1.2780, 4.2891, 64.3658, 4.9960, 0.9574, 0.2886, 120.74, 86.87, 120.74, 86.87, 0.9574, 0.2886, 1.2379, 4.1066, 0.8036, 871.0000, 932.1718, 1, 26, 0.4314, 9.7356, 9.3043, 3.1375, 0.3502, 0.6498, 120.74, 86.87, 120.74, 86.87, 0, 0, 0, 1, ok, ok, 98.1577, 33.8740, 98.1522, 33.2102, 98.1522, 33.2102, 120.29, 87.08, 120.29, 87.08, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.687, 4.7901, 62.8545, 4.9938, 1.0335, 4.7901, 62.8545, 4.9938, 0.8591, 0.5118, 121.49, 86.49, 121.49, 86.49, 0.8591, 0.5118, 2.4517, 4.1151, 0.7136, 955.0000, 954.5859, 1, 28, 0.3336, 9.7298, 9.3962, 3.4614, 0.3225, 0.6775, 121.49, 86.49, 121.49, 86.49, 0, 0, 0, 1, ok, ok, 98.1570, 34.9925, 98.1536, 34.1013, 98.1536, 34.1013, 120.89, 86.79, 120.89, 86.79, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.628, 4.7578, 64.2885, 4.6525, 1.0993, 4.7578, 64.2885, 4.6525, 0.8909, 0.4542, 120.75, 86.85, 120.75, 86.85, 0.8909, 0.4542, 2.1612, 4.2386, 0.8679, 974.0000, 933.2930, 1, 30, 0.3269, 9.6409, 9.3139, 3.4744, 0.2803, 0.7197, 120.75, 86.85, 120.75, 86.85, 0, 0, 0, 1, ok, ok, 98.1538, 33.8980, 98.1537, 33.9997, 98.1537, 33.9997, 120.82, 86.82, 120.82, 86.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.633, 4.5861, 63.9218, 4.9265, 1.1350, 4.5861, 63.9218, 4.9265, 0.9065, 0.4222, 120.94, 86.77, 120.94, 86.77, 0.9065, 0.4222, 1.9361, 4.1574, 0.7731, 921.0000, 938.6465, 1, 27, 0.3810, 9.6445, 9.2634, 3.3337, 0.3453, 0.6547, 120.94, 86.77, 120.94, 86.77, 0, 0, 0, 1, ok, ok, 98.1557, 34.1706, 98.1543, 34.0851, 98.1543, 34.0851, 120.88, 86.79, 120.88, 86.79, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.599, 4.7654, 61.6128, 5.3486, 1.0881, 4.7654, 61.6128, 5.3486, 0.8858, 0.4641, 122.28, 86.10, 122.28, 86.10, 0.8858, 0.4641, 2.2118, 4.2210, 0.7484, 939.0000, 973.8232, 1, 28, 0.3907, 9.7345, 9.3439, 3.4518, 0.3621, 0.6379, 122.28, 86.10, 122.28, 86.10, 0, 0, 0, 1, ok, ok, 98.1618, 36.1709, 98.1565, 35.1280, 98.1565, 35.1280, 121.58, 86.45, 121.58, 86.45, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.534, 4.9421, 62.1175, 5.0036, 1.0268, 4.9421, 62.1175, 5.0036, 0.8556, 0.5176, 121.96, 86.26, 121.96, 86.26, 0.8556, 0.5176, 2.5579, 4.2286, 0.7659, 1004.0000, 965.9116, 1, 30, 0.3275, 9.7467, 9.4192, 3.5775, 0.3257, 0.6743, 121.96, 86.26, 121.96, 86.26, 0, 0, 0, 1, ok, ok, 98.1590, 35.6963, 98.1573, 35.4122, 98.1573, 35.4122, 121.77, 86.35, 121.77, 86.35, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.539, 4.8973, 62.7973, 4.6982, 0.9234, 4.8973, 62.7973, 4.6982, 0.7976, 0.6031, 121.25, 86.61, 121.25, 86.61, 0.7976, 0.6031, 2.9538, 3.9063, 0.8348, 960.0000, 955.4558, 1, 29, 0.3699, 9.7327, 9.3627, 3.5621, 0.2615, 0.7385, 121.25, 86.61, 121.25, 86.61, 0, 0, 0, 1, ok, ok, 98.1550, 34.6366, 98.1566, 35.0244, 98.1566, 35.0244, 121.51, 86.48, 121.51, 86.48, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.500, 4.4623, 61.6822, 4.4854, 1.3359, 4.4623, 61.6822, 4.4854, 0.9725, 0.2328, 121.44, 86.52, 121.44, 86.52, 0.9725, 0.2328, 1.0387, 4.3397, 0.8283, 952.0000, 972.7279, 1, 29, 0.3956, 9.5739, 9.1783, 3.2622, 0.3204, 0.6796, 121.44, 86.52, 121.44, 86.52, 0, 0, 0, 1, ok, ok, 98.1633, 34.9225, 98.1586, 34.9734, 98.1586, 34.9734, 121.47, 86.50, 121.47, 86.50, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
