経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.008, 5.1823, 65.1148, 5.1060, 1.4173, 5.1210, 65.1148, 5.1060, 0.9882, 0.1529, 116.73, 88.87, 0.9882, 0.1529, 0.7926, 5.1213, 0.5872, 883.0000, 921.4489, 1, 27, 0.3004, 9.9312, 9.6308, 3.7112, 0.3941, 0.6059, 116.73, 88.87, 116.73, 88.87, 0, 0, 1, 1, A:5.1823->5.1210, ok, 98.1577, 27.8616, 98.1577, 27.8616, 98.1577, 27.8616, 116.73, 88.87, 116.73, 88.87, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.806, 5.1823, 65.1148, 5.1060, 1.4173, 5.1210, 65.1148, 5.1060, 0.9882, 0.1529, 116.73, 88.87, 0.9882, 0.1529, 0.7926, 5.1213, 0.5872, 883.0000, 921.4489, 1, 27, 0.3004, 9.9312, 9.6308, 3.7112, 0.3941, 0.6059, 116.73, 88.87, 116.73, 88.87, 0, 0, 1, 1, A:5.1823->5.1210, ok, 98.1577, 27.8616, 98.1577, 27.8616, 98.1577, 27.8616, 116.73, 88.87, 116.73, 88.87, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.712, 4.7908, 59.9865, 5.0986, 1.2581, 4.7908, 59.9865, 5.0986, 0.9515, 0.3076, 117.86, 88.31, 0.9515, 0.3076, 1.4738, 4.5585, 0.7061, 902.0000, 1000.2245, 1, 27, 0.3968, 9.8947, 9.4978, 3.4604, 0.3703, 0.6297, 117.86, 88.31, 117.86, 88.31, 0, 0, 0, 1, ok, ok, 98.1591, 29.5474, 98.1581, 28.7045, 98.1581, 28.7045, 117.29, 88.59, 117.29, 88.59, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.645, 4.4407, 0.0000, 6.5610, 1.3345, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 117.86, 88.31, 0.9722, 0.2341, 1.0395, 4.3173, 1.3268, 1082.0000, 0.0000, 0, 32, 0.5820, 9.8322, 9.2502, 3.4088, 0.6081, 0.3919, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.714, 4.9449, 62.9224, 5.6212, 1.4895, 4.9449, 62.9224, 5.6212, 0.9967, 0.0812, 116.74, 88.87, 0.9967, 0.0812, 0.4017, 4.9286, 0.7170, 901.0000, 953.5561, 1, 27, 0.4775, 9.9244, 9.4469, 3.5693, 0.4040, 0.5960, 116.74, 88.87, 116.74, 88.87, 0, 0, 0, 1, ok, ok, 98.1574, 27.8699, 98.1579, 28.2872, 98.1579, 28.2872, 117.02, 88.73, 117.02, 88.73, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.553, 5.1232, 60.1035, 5.4531, 1.3748, 5.1210, 60.1035, 5.4531, 0.9809, 0.1947, 116.36, 89.06, 0.9809, 0.1947, 0.9976, 5.0251, 0.7036, 957.0000, 998.2781, 1, 29, 0.5146, 9.9359, 9.4213, 3.6903, 0.3689, 0.6311, 116.36, 89.06, 116.36, 89.06, 0, 0, 1, 1, A:5.1232->5.1210, ok, 98.1568, 27.3002, 98.1576, 27.7937, 98.1576, 27.7937, 116.69, 88.89, 116.69, 88.89, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.521, 5.1312, 64.7501, 5.2060, 1.5135, 5.1210, 64.7501, 5.2060, 0.9984, 0.0572, 116.42, 89.03, 0.9984, 0.0572, 0.2937, 5.1228, 0.7598, 1044.0000, 926.6390, 1, 31, 0.4383, 9.9171, 9.4789, 3.7070, 0.3851, 0.6149, 116.42, 89.03, 116.42, 89.03, 0, 0, 1, 1, A:5.1312->5.1210, ok, 98.1584, 27.3971, 98.1578, 27.5954, 98.1578, 27.5954, 116.55, 88.96, 116.55, 88.96, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.224, 5.1642, 63.4035, 5.5081, 1.8876, 5.1210, 63.4035, 5.5081, 0.9502, -0.3116, 117.07, 88.70, 0.9502, -0.3116, -1.6090, 4.9071, 0.6367, 966.0000, 946.3195, 1, 29, 0.5172, 9.9165, 9.3993, 3.7067, 0.4824, 0.5176, 117.07, 88.70, 117.07, 88.70, 0, 0, 1, 1, A:5.1642->5.1210, ok, 98.1542, 28.3676, 98.1567, 27.9815, 98.1567, 27.9815, 116.81, 88.83, 116.81, 88.83, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.724, 5.1642, 63.4035, 5.5081, 1.8876, 5.1210, 63.4035, 5.5081, 0.9502, -0.3116, 117.07, 88.70, 0.9502, -0.3116, -1.6090, 4.9071, 0.6367, 966.0000, 946.3195, 1, 29, 0.5172, 9.9165, 9.3993, 3.7067, 0.4824, 0.5176, 117.07, 88.70, 117.07, 88.70, 0, 0, 1, 1, A:5.1642->5.1210, ok, 98.1542, 28.3676, 98.1560, 28.1746, 98.1560, 28.1746, 116.94, 88.76, 116.94, 88.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
7.590, 4.9670, 91.6269, 4.9153, 1.2226, 4.9670, 91.6269, 4.9153, 0.9400, 0.3412, 121.29, 86.57, 0.9400, 0.3412, 1.6950, 4.6689, 0.7014, 853.0000, 654.8299, 1, 25, 0.5006, 9.9196, 9.4190, 3.5815, 0.3681, 0.6319, 121.29, 86.57, 121.29, 86.57, 0, 0, 0, 1, ok, ok, 98.1419, 34.7269, 98.1517, 31.4507, 98.1517, 31.4507, 119.12, 87.67, 119.12, 87.67, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
8.365, 3.6159, 0.0000, 6.8228, 2.0818, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 121.29, 86.57, 0.8722, -0.4891, -1.7685, 3.1539, 0.8437, 1192.0000, 0.0000, 0, 36, 0.6121, 9.8733, 9.2613, 2.6924, 0.6065, 0.3935, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
9.469, 5.1483, 77.6490, 5.8447, 1.7369, 5.1210, 77.6490, 5.8447, 0.9862, -0.1653, 118.06, 88.19, 0.9862, -0.1653, -0.8512, 5.0774, 0.7336, 869.0000, 772.7075, 1, 26, 0.4581, 9.8856, 9.4274, 3.7136, 0.4983, 0.5017, 118.06, 88.19, 118.06, 88.19, 0, 0, 1, 1, A:5.1483->5.1210, ok, 98.1470, 29.8629, 98.1503, 30.6568, 98.1503, 30.6568, 118.59, 87.93, 118.59, 87.93, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
10.134, 4.7453, 64.3533, 5.5173, 1.3187, 4.7453, 64.3533, 5.5173, 0.9684, 0.2495, 118.11, 88.18, 0.9684, 0.2495, 1.1837, 4.5953, 0.5455, 774.0000, 932.3537, 1, 23, 0.7385, 9.9221, 9.1836, 3.3995, 0.5245, 0.4755, 118.11, 88.18, 118.11, 88.18, 0, 0, 0, 1, ok, ok, 98.1558, 29.9278, 98.1520, 30.2923, 98.1520, 30.2923, 118.35, 88.05, 118.35, 88.05, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
11.170, 5.0156, 0.0000, 5.2001, 1.7142, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.11, 88.18, 0.9897, -0.1429, -0.7167, 4.9642, 0.6287, 1102.0000, 0.0000, 0, 33, 0.3322, 9.8600, 9.5278, 3.6019, 0.4229, 0.5771, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
12.069, 4.5944, 0.0000, 4.4110, 0.6285, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.11, 88.18, 0.5879, 0.8089, 3.7165, 2.7012, 1.1271, 683.0000, 0.0000, 0, 21, 0.5516, 9.8811, 9.3295, 3.4387, 0.3163, 0.6837, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.073, 2.2439, 0.0000, 4.2560, 1.4424, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.11, 88.18, 0.9918, 0.1281, 0.2874, 2.2254, 2.2874, 1022.0000, 0.0000, 0, 30, 0.9347, 9.8683, 8.9336, 2.7839, 0.5421, 0.4579, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
13.977, 4.5456, 63.0610, 5.7917, 1.1031, 4.5456, 63.0610, 5.7917, 0.8926, 0.4509, 120.20, 87.12, 0.8926, 0.4509, 2.0494, 4.0573, 0.9483, 922.0000, 951.4596, 1, 28, 0.5217, 9.9148, 9.3932, 3.3512, 0.3525, 0.6475, 120.20, 87.12, 120.20, 87.12, 0, 0, 0, 1, ok, ok, 98.1485, 33.0845, 98.1509, 31.6884, 98.1509, 31.6884, 119.28, 87.59, 119.28, 87.59, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
14.874, 4.9543, 64.0868, 4.8938, 1.5208, 4.9543, 64.0868, 4.8938, 0.9988, 0.0500, 116.74, 88.87, 0.9988, 0.0500, 0.2475, 4.9481, 0.6993, 1065.0000, 936.2298, 1, 32, 0.3386, 9.8655, 9.5270, 3.5723, 0.3700, 0.6300, 116.74, 88.87, 116.74, 88.87, 0, 0, 0, 1, ok, ok, 98.1625, 27.8722, 98.1544, 29.7803, 98.1544, 29.7803, 118.01, 88.23, 118.01, 88.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
15.879, 4.7433, 65.2802, 4.8016, 1.2197, 4.7433, 65.2802, 4.8016, 0.9390, 0.3439, 118.86, 87.81, 0.9390, 0.3439, 1.6312, 4.4540, 0.7083, 903.0000, 919.1149, 1, 27, 0.3314, 9.6721, 9.3407, 3.4280, 0.3333, 0.6667, 118.86, 87.81, 118.86, 87.81, 0, 0, 0, 1, ok, ok, 98.1578, 31.0474, 98.1554, 30.4138, 98.1554, 30.4138, 118.43, 88.02, 118.43, 88.02, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
16.887, 4.3572, 0.0000, 4.6360, 0.2879, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.86, 87.81, 0.2840, 0.9588, 4.1778, 1.2373, 1.4772, 610.0000, 0.0000, 0, 18, 0.7406, 9.6602, 8.9195, 3.4168, 0.2836, 0.7164, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
17.854, 5.1378, 0.0000, 5.4851, 3.4103, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.86, 87.81, -0.2655, -0.9641, -4.9533, -1.3642, 1.4247, 478.0000, 0.0000, 0, 15, 0.4528, 9.8798, 9.4270, 3.9023, 0.8473, 0.1527, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
18.853, 4.8761, 61.4352, 4.6329, 1.2958, 4.8761, 61.4352, 4.6329, 0.9624, 0.2715, 117.53, 88.48, 0.9624, 0.2715, 1.3240, 4.6929, 0.8502, 893.0000, 976.6394, 1, 26, 0.4413, 9.8631, 9.4218, 3.5512, 0.3617, 0.6383, 117.53, 88.48, 117.53, 88.48, 0, 0, 0, 1, ok, ok, 98.1623, 29.0474, 98.1575, 29.7306, 98.1575, 29.7306, 117.98, 88.25, 117.98, 88.25, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
