経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, SBP_process, DBP_process, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.000, 9.0376, 76.5672, -0.6219, -0.3317, 9.0376, 76.5672, -0.6219, -0.3317, 116.19, 89.11, 116.19, 89.11, 794.0000, 783.6253, 1, 116.19, 89.11, 0, 0, 1, ok, ok, 98.1352, 27.0799, 98.1352, 27.0799, 98.1352, 27.0799, 116.19, 89.11, 116.19, 89.11, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.642, 9.2068, 76.0637, -0.6234, -0.3325, 9.2068, 76.0637, -0.6234, -0.3325, 116.36, 89.03, 116.36, 89.03, 769.0000, 788.8126, 1, 116.36, 89.03, 0, 0, 1, ok, ok, 98.1366, 27.3310, 98.1356, 27.2055, 98.1356, 27.2055, 116.27, 89.07, 116.27, 89.07, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.478, 9.1028, 77.0311, -0.6437, -0.3433, 9.1028, 77.0311, -0.6437, -0.3433, 116.23, 89.09, 116.23, 89.09, 813.0000, 778.9063, 1, 116.23, 89.09, 0, 0, 1, ok, ok, 98.1357, 27.1438, 98.1356, 27.1747, 98.1356, 27.1747, 116.25, 89.08, 116.25, 89.08, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.208, 9.3059, 75.3813, -0.6089, -0.4059, 9.3059, 75.3813, -0.6089, -0.4059, 117.51, 88.46, 117.51, 88.46, 761.0000, 795.9532, 1, 117.51, 88.46, 0, 0, 1, ok, ok, 98.1441, 29.0427, 98.1382, 28.1087, 98.1382, 28.1087, 116.88, 88.77, 116.88, 88.77, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.071, 9.2352, 77.0736, -0.6938, -0.3035, 9.2352, 77.0736, -0.6938, -0.3035, 115.81, 89.29, 115.81, 89.29, 840.0000, 778.4766, 1, 115.81, 89.29, 0, 0, 1, ok, ok, 98.1335, 26.5162, 98.1368, 27.3124, 98.1368, 27.3124, 116.35, 89.03, 116.35, 89.03, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.740, 7.9284, 74.1438, -0.4702, -0.3929, 7.9284, 74.1438, -0.4702, -0.3929, 117.55, 88.43, 117.55, 88.43, 692.0000, 809.2383, 1, 117.55, 88.43, 0, 0, 1, ok, ok, 98.1403, 29.1190, 98.1378, 28.2157, 98.1378, 28.2157, 116.95, 88.73, 116.95, 88.73, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.512, 7.9284, 79.9340, -0.5708, -0.3815, 7.9284, 79.9340, -0.5708, -0.3815, 115.68, 89.35, 115.68, 89.35, 757.0000, 750.6191, 1, 115.68, 89.35, 0, 0, 1, ok, ok, 98.1295, 26.3241, 98.1353, 27.2699, 98.1353, 27.2699, 116.32, 89.05, 116.32, 89.05, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.279, 9.1851, 79.5957, -0.6539, -0.3487, 9.1851, 79.5957, -0.6539, -0.3487, 115.44, 89.48, 115.44, 89.48, 756.0000, 753.8096, 1, 115.44, 89.48, 0, 0, 1, ok, ok, 98.1314, 25.9635, 98.1341, 26.6167, 98.1341, 26.6167, 115.88, 89.26, 115.88, 89.26, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.043, 9.1258, 79.4802, -0.6548, -0.3479, 9.1258, 79.4802, -0.6548, -0.3479, 115.48, 89.46, 115.48, 89.46, 784.0000, 754.9048, 1, 115.48, 89.46, 0, 0, 1, ok, ok, 98.1314, 26.0192, 98.1333, 26.3180, 98.1333, 26.3180, 115.68, 89.36, 115.68, 89.36, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.784, 8.9390, 77.9775, -0.5893, -0.3367, 8.9390, 77.9775, -0.5893, -0.3367, 115.70, 89.35, 115.70, 89.35, 744.0000, 769.4524, 1, 115.70, 89.35, 0, 0, 1, ok, ok, 98.1320, 26.3482, 98.1329, 26.3331, 98.1329, 26.3331, 115.69, 89.36, 115.69, 89.36, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
