経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.000, 4.1320, 76.0637, 4.4828, 1.2556, 4.1320, 76.0637, 4.4828, 0.9507, 0.3100, 116.44, 88.98, 116.44, 88.98, 0.9507, 0.3100, 1.2808, 3.9285, 0.9585, 796.0000, 788.8126, 1, 24, 0.3360, 9.5812, 9.2452, 3.0750, 0.3304, 0.6696, 116.44, 88.98, 116.44, 88.98, 0, 0, 0, 1, ok, ok, 98.1316, 27.4630, 98.1316, 27.4630, 98.1316, 27.4630, 116.44, 88.98, 116.44, 88.98, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.642, 4.1320, 76.0637, 4.4828, 1.2556, 4.1320, 76.0637, 4.4828, 0.9507, 0.3100, 116.44, 88.98, 116.44, 88.98, 0.9507, 0.3100, 1.2808, 3.9285, 0.9585, 796.0000, 788.8126, 1, 24, 0.3360, 9.5812, 9.2452, 3.0750, 0.3304, 0.6696, 116.44, 88.98, 116.44, 88.98, 0, 0, 0, 1, ok, ok, 98.1316, 27.4630, 98.1316, 27.4630, 98.1316, 27.4630, 116.44, 88.98, 116.44, 88.98, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.478, 4.1034, 77.0311, 5.7863, 1.2030, 4.1034, 77.0311, 5.7863, 0.9331, 0.3596, 117.37, 88.51, 117.37, 88.51, 0.9331, 0.3596, 1.4755, 3.8289, 0.9483, 798.0000, 778.9063, 1, 24, 0.5755, 9.7505, 9.1750, 3.0526, 0.3797, 0.6203, 117.37, 88.51, 117.37, 88.51, 0, 0, 0, 1, ok, ok, 98.1338, 28.8566, 98.1323, 28.1598, 98.1323, 28.1598, 116.91, 88.75, 116.91, 88.75, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.208, 4.4034, 75.3813, 5.6551, 1.1239, 4.4034, 75.3813, 5.6551, 0.9018, 0.4322, 118.04, 88.18, 118.04, 88.18, 0.9018, 0.4322, 1.9032, 3.9709, 0.8371, 770.0000, 795.9532, 1, 23, 0.5437, 9.6885, 9.1448, 3.2242, 0.4039, 0.5961, 118.04, 88.18, 118.04, 88.18, 0, 0, 0, 1, ok, ok, 98.1357, 29.8545, 98.1333, 29.0072, 98.1333, 29.0072, 117.47, 88.46, 117.47, 88.46, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.071, 3.5933, 0.0000, 5.9365, 1.2746, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.04, 88.18, 118.04, 88.18, 0.9565, 0.2919, 1.0488, 3.4368, 1.1102, 802.0000, 0.0000, 0, 24, 0.5631, 9.7988, 9.2357, 2.7728, 0.4289, 0.5711, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.740, 4.4158, 0.0000, 6.1399, 0.8694, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.04, 88.18, 118.04, 88.18, 0.7640, 0.6453, 2.8494, 3.3735, 1.0864, 773.0000, 0.0000, 0, 23, 0.4969, 9.8028, 9.3059, 3.3060, 0.3428, 0.6572, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.512, 4.2706, 79.9340, 4.6799, 1.4243, 4.2706, 79.9340, 4.6799, 0.9893, 0.1460, 116.30, 89.05, 116.30, 89.05, 0.9893, 0.1460, 0.6235, 4.2248, 0.4498, 837.0000, 750.6191, 1, 25, 0.3913, 9.6151, 9.2239, 3.0531, 0.4134, 0.5866, 116.30, 89.05, 116.30, 89.05, 0, 0, 0, 1, ok, ok, 98.1312, 27.2576, 98.1327, 28.1324, 98.1327, 28.1324, 116.89, 88.76, 116.89, 88.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.279, 4.0129, 79.5957, 5.1140, 1.5022, 4.0129, 79.5957, 5.1140, 0.9977, 0.0685, 116.74, 88.83, 116.74, 88.83, 0.9977, 0.0685, 0.2749, 4.0035, 0.8081, 694.0000, 753.8096, 1, 21, 0.4894, 9.7226, 9.2332, 2.9504, 0.4164, 0.5836, 116.74, 88.83, 116.74, 88.83, 0, 0, 0, 1, ok, ok, 98.1359, 27.9121, 98.1337, 28.0222, 98.1337, 28.0222, 116.82, 88.79, 116.82, 88.79, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.043, 4.1988, 0.0000, 5.8338, 1.0698, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 116.74, 88.83, 116.74, 88.83, 0.8771, 0.4803, 2.0168, 3.6828, 1.0198, 756.0000, 0.0000, 0, 23, 0.6135, 9.6923, 9.0788, 3.1393, 0.3810, 0.6190, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.784, 4.2979, 77.9775, 5.3255, 1.1046, 4.2979, 77.9775, 5.3255, 0.8933, 0.4495, 116.71, 88.84, 116.71, 88.84, 0.8933, 0.4495, 1.9321, 3.8392, 0.8060, 752.0000, 769.4524, 1, 23, 0.4306, 9.6158, 9.1851, 3.1442, 0.3351, 0.6649, 116.71, 88.84, 116.71, 88.84, 0, 0, 0, 1, ok, ok, 98.1285, 27.8743, 98.1321, 27.9483, 98.1321, 27.9483, 116.76, 88.82, 116.76, 88.82, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
