経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.022, 9.1872, 83.5908, -0.6173, -0.4273, 9.1872, 83.5908, -0.6173, -0.4273, 121.72, 86.36, 701.0000, 717.7820, 1, 121.72, 86.36, 0, 0, 1, ok, ok, 98.1429, 35.3586, 98.1429, 35.3586, 98.1429, 35.3586, 121.72, 86.36, 121.72, 86.36, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.283, 9.3326, 84.5796, -0.6591, -0.3766, 9.3326, 84.5796, -0.6591, -0.3766, 122.30, 86.06, 786.0000, 709.3910, 1, 122.30, 86.06, 0, 0, 1, ok, ok, 98.1420, 36.2338, 98.1426, 35.7962, 98.1426, 35.7962, 122.01, 86.21, 122.01, 86.21, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.022, 9.2961, 80.2466, -0.5458, -0.3779, 9.2961, 80.2466, -0.5458, -0.3779, 121.63, 86.40, 730.0000, 747.6955, 1, 121.63, 86.40, 0, 0, 1, ok, ok, 98.1412, 35.2287, 98.1422, 35.5125, 98.1422, 35.5125, 121.82, 86.30, 121.82, 86.30, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.755, 9.1519, 81.2075, -0.5425, -0.4068, 9.1519, 81.2075, -0.5425, -0.4068, 121.60, 86.41, 727.0000, 738.8478, 1, 121.60, 86.41, 0, 0, 1, ok, ok, 98.1407, 35.1885, 98.1418, 35.3505, 98.1418, 35.3505, 121.71, 86.36, 121.71, 86.36, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.491, 9.2422, 81.8639, -0.5447, -0.4539, 9.2422, 81.8639, -0.5447, -0.4539, 121.12, 86.66, 733.0000, 732.9239, 1, 121.12, 86.66, 0, 0, 1, ok, ok, 98.1421, 34.4604, 98.1419, 34.9055, 98.1419, 34.9055, 121.41, 86.51, 121.41, 86.51, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.217, 9.1397, 81.8596, -0.4952, -0.4502, 9.1397, 81.8596, -0.4952, -0.4502, 121.27, 86.57, 725.0000, 732.9619, 1, 121.27, 86.57, 0, 0, 1, ok, ok, 98.1386, 34.6988, 98.1409, 34.8021, 98.1409, 34.8021, 121.34, 86.54, 121.34, 86.54, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.923, 8.8286, 82.3067, -0.5007, -0.4552, 8.8286, 82.3067, -0.5007, -0.4552, 121.56, 86.43, 702.0000, 728.9810, 1, 121.56, 86.43, 0, 0, 1, ok, ok, 98.1381, 35.1300, 98.1400, 34.9661, 98.1400, 34.9661, 121.45, 86.48, 121.45, 86.48, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.661, 9.3829, 83.8586, -0.5171, -0.4701, 9.3829, 83.8586, -0.5171, -0.4701, 121.18, 86.62, 735.0000, 715.4905, 1, 121.18, 86.62, 0, 0, 1, ok, ok, 98.1382, 34.5586, 98.1395, 34.7623, 98.1395, 34.7623, 121.31, 86.55, 121.31, 86.55, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.355, 8.8286, 82.7306, -0.4939, -0.4939, 8.8286, 82.7306, -0.4939, -0.4939, 121.21, 86.60, 713.0000, 725.2452, 1, 121.21, 86.60, 0, 0, 1, ok, ok, 98.1388, 34.6048, 98.1393, 34.6836, 98.1393, 34.6836, 121.26, 86.58, 121.26, 86.58, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.025, 8.4948, 83.4350, -0.5091, -0.4628, 8.4948, 83.4350, -0.5091, -0.4628, 121.95, 86.23, 677.0000, 719.1226, 1, 121.95, 86.23, 0, 0, 1, ok, ok, 98.1368, 35.7215, 98.1385, 35.2025, 98.1385, 35.2025, 121.61, 86.40, 121.61, 86.40, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
