経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
0.027, 4.6310, 78.1005, 5.9158, 1.5806, 4.6310, 78.1005, 5.9158, 0.9996, -0.0098, 119.42, 87.51, 119.42, 87.51, 1.0000, -0.0098, -0.0454, 4.6308, 0.7120, 772.0000, 768.2413, 1, 23, 0.4070, 9.8651, 9.4581, 3.3512, 0.4883, 0.5117, 119.42, 87.51, 119.42, 87.51, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 98.1483, 31.9060, 98.1483, 31.9060, 98.1483, 31.9060, 119.42, 87.51, 119.42, 87.51, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
0.559, 4.6310, 78.1005, 5.9158, 1.5806, 4.6310, 78.1005, 5.9158, 0.9996, -0.0098, 119.42, 87.51, 119.42, 87.51, 1.0000, -0.0098, -0.0454, 4.6308, 0.7120, 772.0000, 768.2413, 1, 23, 0.4070, 9.8651, 9.4581, 3.3512, 0.4883, 0.5117, 119.42, 87.51, 119.42, 87.51, 0, 0, 1, 1, sinPhi:1.0000->0.9996, ok, 98.1483, 31.9060, 98.1483, 31.9060, 98.1483, 31.9060, 119.42, 87.51, 119.42, 87.51, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
1.360, 4.6074, 76.6655, 5.8966, 1.6805, 4.6074, 76.6655, 5.8966, 0.9940, -0.1095, 120.25, 87.11, 120.25, 87.11, 0.9940, -0.1095, -0.5045, 4.5797, 0.6444, 782.0000, 782.6207, 1, 24, 0.5172, 9.8598, 9.3427, 3.3211, 0.4872, 0.5128, 120.25, 87.11, 120.25, 87.11, 0, 0, 0, 1, ok, ok, 98.1557, 33.1421, 98.1505, 32.5241, 98.1505, 32.5241, 119.83, 87.31, 119.83, 87.31, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.067, 4.3221, 74.9241, 6.2094, 1.6343, 4.3221, 74.9241, 6.2094, 0.9980, -0.0634, 120.39, 87.04, 120.39, 87.04, 0.9980, -0.0634, -0.2742, 4.3134, 0.9153, 791.0000, 800.8103, 1, 23, 0.4532, 9.8157, 9.3625, 3.1903, 0.5234, 0.4766, 120.39, 87.04, 120.39, 87.04, 0, 0, 0, 1, ok, ok, 98.1570, 33.3550, 98.1524, 32.9395, 98.1524, 32.9395, 120.11, 87.17, 120.11, 87.17, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
2.800, 4.1895, 0.0000, 6.5237, 1.5946, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 120.39, 87.04, 120.39, 87.04, 0.9997, -0.0238, -0.0998, 4.1883, 1.1210, 816.0000, 0.0000, 0, 25, 0.3899, 9.8770, 9.4871, 3.1675, 0.5012, 0.4988, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
3.637, 4.1056, 80.1922, 5.1797, 1.6988, 4.1056, 80.1922, 5.1797, 0.9918, -0.1277, 117.70, 88.37, 117.70, 88.37, 0.9918, -0.1277, -0.5241, 4.0720, 0.5913, 695.0000, 748.2026, 1, 20, 0.6196, 9.7018, 9.0823, 2.9627, 0.5640, 0.4360, 117.70, 88.37, 117.70, 88.37, 0, 0, 0, 1, ok, ok, 98.1448, 29.3329, 98.1501, 31.1362, 98.1501, 31.1362, 118.91, 87.77, 118.91, 87.77, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
4.307, 2.8839, 76.6184, 3.0020, 1.4588, 2.8839, 76.6184, 3.0020, 0.9937, 0.1118, 113.28, 90.55, 113.28, 90.55, 0.9937, 0.1118, 0.3224, 2.8658, 0.8692, 752.0000, 783.1013, 1, 23, 0.1639, 8.2239, 8.0600, 2.2167, 0.4229, 0.5771, 113.28, 90.55, 113.28, 90.55, 0, 0, 0, 1, ok, ok, 98.1263, 22.7309, 98.1430, 26.9336, 98.1430, 26.9336, 116.10, 89.17, 116.10, 89.17, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.040, 2.3734, 81.9615, 2.8217, 1.9475, 2.3734, 81.9615, 2.8217, 0.9299, -0.3679, 113.12, 90.65, 113.12, 90.65, 0.9299, -0.3679, -0.8731, 2.2069, 0.4109, 815.0000, 732.0506, 1, 24, 0.1844, 5.8411, 5.6567, 1.7278, 0.5117, 0.4883, 113.12, 90.65, 113.12, 90.65, 0, 0, 0, 1, ok, ok, 98.1384, 22.4653, 98.1416, 24.6995, 98.1416, 24.6995, 114.61, 89.91, 114.61, 89.91, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
5.808, 4.2210, 82.0204, 4.1722, 2.2579, 4.2210, 82.0204, 4.1722, 0.7731, -0.6343, 119.57, 87.47, 119.57, 87.47, 0.7731, -0.6343, -2.6773, 3.2632, 0.9479, 678.0000, 731.5253, 1, 21, 0.3753, 9.7747, 9.3994, 3.1316, 0.5074, 0.4926, 119.57, 87.47, 119.57, 87.47, 0, 0, 0, 1, ok, ok, 98.1713, 32.1047, 98.1505, 28.4021, 98.1505, 28.4021, 117.09, 88.68, 117.09, 88.68, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
6.573, 4.6110, 79.6007, 5.6754, 1.5507, 4.6110, 79.6007, 5.6754, 0.9996, 0.0201, 118.55, 87.94, 118.55, 87.94, 0.9998, 0.0201, 0.0928, 4.6100, 0.6064, 738.0000, 753.7627, 1, 22, 0.4893, 9.7598, 9.2705, 3.3164, 0.4580, 0.5420, 118.55, 87.94, 118.55, 87.94, 0, 0, 1, 1, sinPhi:0.9998->0.9996, ok, 98.1429, 30.6173, 98.1482, 29.5097, 98.1482, 29.5097, 117.82, 88.31, 117.82, 88.31, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
